Session;Period;Subject;myTreatment;myGroup;myGroup2;myGroupType;dec-01;dec-02
160616_1231;12;18;9;5;6;2;4;4
160616_1231;12;19;2;1;2;2;1;1
160616_1231;12;20;2;4;4;1;5;0
160616_1231;12;21;9;6;6;1;4;0
160616_1231;12;22;9;4;4;1;1;0
160616_1231;12;23;2;2;2;1;1;0
160616_1231;12;24;2;4;5;2;6;6
160616_1231;12;25;9;5;5;1;6;0
160616_1231;12;26;9;7;7;1;6;0
160616_1231;13;1;9;2;2;1;1;0
160616_1231;13;2;9;4;5;2;6;6
160616_1231;13;3;2;1;1;1;4;0
160616_1231;13;4;2;2;3;2;6;6
160616_1231;13;5;9;1;1;1;6;0
160616_1231;13;6;9;3;3;1;6;0
160616_1231;13;7;2;3;4;2;3;3
160616_1231;13;8;2;6;1;2;4;4
160616_1231;13;9;9;7;1;2;6;5
160616_1231;13;10;9;1;2;2;1;3
160616_1231;13;11;2;3;3;1;6;0
160616_1231;13;12;2;5;6;2;4;4
160616_1231;13;13;9;2;3;2;6;6
160616_1231;13;14;9;6;7;2;4;4
160616_1231;13;15;2;5;5;1;6;0
160616_1231;13;16;2;6;6;1;4;0
160616_1231;13;17;9;3;4;2;1;4
160616_1231;13;18;9;5;6;2;4;2
160616_1231;13;19;2;1;2;2;3;3
160616_1231;13;20;2;4;4;1;3;0
160616_1231;13;21;9;6;6;1;4;0
160616_1231;13;22;9;4;4;1;1;0
160616_1231;13;23;2;2;2;1;3;0
160616_1231;13;24;2;4;5;2;6;6
160616_1231;13;25;9;5;5;1;6;0
160616_1231;13;26;9;7;7;1;4;0
160616_1231;14;1;9;2;2;1;6;0
160616_1231;14;2;9;4;5;2;6;6
160616_1231;14;3;2;1;1;1;6;0
160616_1231;14;4;2;2;3;2;5;5
160616_1231;14;5;9;1;1;1;3;0
160616_1231;14;6;9;3;3;1;1;0
160616_1231;14;7;2;3;4;2;4;1
160616_1231;14;8;2;6;1;2;6;6
160616_1231;14;9;9;7;1;2;3;5
160616_1231;14;10;9;1;2;2;6;2
160616_1231;14;11;2;3;3;1;5;0
160616_1231;14;12;2;5;6;2;4;5
160616_1231;14;13;9;2;3;2;1;1
160616_1231;14;14;9;6;7;2;4;6
160616_1231;14;15;2;5;5;1;4;0
160616_1231;14;16;2;6;6;1;4;0
160616_1231;14;17;9;3;4;2;6;4
160616_1231;14;18;9;5;6;2;4;1
160616_1231;14;19;2;1;2;2;1;1
160616_1231;14;20;2;4;4;1;4;0
160616_1231;14;21;9;6;6;1;4;0
160616_1231;14;22;9;4;4;1;6;0
160616_1231;14;23;2;2;2;1;1;0
160616_1231;14;24;2;4;5;2;4;4
160616_1231;14;25;9;5;5;1;6;0
160616_1231;14;26;9;7;7;1;4;0
160616_1231;15;1;9;2;2;1;6;0
160616_1231;15;2;9;4;5;2;6;6
160616_1231;15;3;2;1;1;1;5;0
160616_1231;15;4;2;2;3;2;1;6
160616_1231;15;5;9;1;1;1;4;0
160616_1231;15;6;9;3;3;1;5;0
160616_1231;15;7;2;3;4;2;4;4
160616_1231;15;8;2;6;1;2;5;5
160616_1231;15;9;9;7;1;2;4;3
160616_1231;15;10;9;1;2;2;6;4
160616_1231;15;11;2;3;3;1;1;0
160616_1231;15;12;2;5;6;2;5;5
160616_1231;15;13;9;2;3;2;5;5
160616_1231;15;14;9;6;7;2;2;2
160616_1231;15;15;2;5;5;1;5;0
160616_1231;15;16;2;6;6;1;5;0
160616_1231;15;17;9;3;4;2;6;6
160616_1231;15;18;9;5;6;2;6;4
160616_1231;15;19;2;1;2;2;6;6
160616_1231;15;20;2;4;4;1;4;0
160616_1231;15;21;9;6;6;1;6;0
160616_1231;15;22;9;4;4;1;6;0
160616_1231;15;23;2;2;2;1;6;0
160616_1231;15;24;2;4;5;2;5;5
160616_1231;15;25;9;5;5;1;6;0
160616_1231;15;26;9;7;7;1;2;0
160616_1231;16;1;9;2;2;1;6;0
160616_1231;16;2;9;4;5;2;6;6
160616_1231;16;3;2;1;1;1;6;0
160616_1231;16;4;2;2;3;2;2;6
160616_1231;16;5;9;1;1;1;4;0
160616_1231;16;6;9;3;3;1;2;0
160616_1231;16;7;2;3;4;2;5;2
160616_1231;16;8;2;6;1;2;6;6
160616_1231;16;9;9;7;1;2;4;2
160616_1231;16;10;9;1;2;2;6;1
160616_1231;16;11;2;3;3;1;2;0
160616_1231;16;12;2;5;6;2;6;6
160616_1231;16;13;9;2;3;2;2;2
160616_1231;16;14;9;6;7;2;5;4
160616_1231;16;15;2;5;5;1;6;0
160616_1231;16;16;2;6;6;1;6;0
160616_1231;16;17;9;3;4;2;6;6
160616_1231;16;18;9;5;6;2;1;1
160616_1231;16;19;2;1;2;2;4;4
160616_1231;16;20;2;4;4;1;5;0
160616_1231;16;21;9;6;6;1;1;0
160616_1231;16;22;9;4;4;1;6;0
160616_1231;16;23;2;2;2;1;4;0
160616_1231;16;24;2;4;5;2;6;6
160616_1231;16;25;9;5;5;1;6;0
160616_1231;16;26;9;7;7;1;5;0
160616_1231;17;1;9;2;2;1;4;0
160616_1231;17;2;9;4;5;2;6;6
160616_1231;17;3;2;1;1;1;4;0
160616_1231;17;4;2;2;3;2;5;5
160616_1231;17;5;9;1;1;1;2;0
160616_1231;17;6;9;3;3;1;4;0
160616_1231;17;7;2;3;4;2;2;4
160616_1231;17;8;2;6;1;2;4;1
160616_1231;17;9;9;7;1;2;2;1
160616_1231;17;10;9;1;2;2;4;4
160616_1231;17;11;2;3;3;1;5;0
160616_1231;17;12;2;5;6;2;5;6
160616_1231;17;13;9;2;3;2;4;6
160616_1231;17;14;9;6;7;2;4;4
