",""DyadID"",""Period"",""double"",""Treatment_name"""
"849,24,9,0,""high"""
"848,24,10,0,""high"""
"842,24,11,0,""high"""
"843,24,12,0,""high"""
"846,24,13,0,""high"""
"845,24,14,0,""high"""
"850,24,15,0,""high"""
"854,24,16,0,""high"""
"855,24,17,0,""high"""
"861,24,18,0,""high"""
"856,24,19,0,""high"""
"857,24,20,0,""high"""
"1572,25,1,1,""high"""
"1563,25,2,1,""high"""
"1566,25,3,0,""high"""
"1561,25,4,1,""high"""
"1559,25,5,0,""high"""
"1555,25,6,0,""high"""
"1556,25,7,0,""high"""
"1565,25,8,0,""high"""
"1557,25,9,1,""high"""
"1567,25,10,0,""high"""
"1570,25,11,1,""high"""
"1564,25,12,1,""high"""
"1573,25,13,0,""high"""
"1575,25,14,0,""high"""
"1568,25,15,1,""high"""
"1574,25,16,1,""high"""
"1569,25,17,0,""high"""
"1571,25,18,1,""high"""
"1558,25,19,1,""high"""
"1560,25,20,0,""high"""
"57,26,1,1,""high"""
"59,26,2,1,""high"""
"56,26,3,1,""high"""
"62,26,4,1,""high"""
"60,26,5,1,""high"""
"58,26,6,1,""high"""
"61,26,7,1,""high"""
"53,26,8,1,""high"""
"63,26,9,1,""high"""
"47,26,10,1,""high"""
"45,26,11,1,""high"""
"51,26,12,1,""high"""
"50,26,13,1,""high"""
"46,26,14,1,""high"""
"52,26,15,1,""high"""
"48,26,16,1,""high"""
"43,26,17,1,""high"""
"54,26,18,1,""high"""
"44,26,19,1,""high"""
"49,26,20,1,""high"""
"674,27,1,0,""high"""
"688,27,2,0,""high"""
"675,27,3,0,""high"""
"676,27,4,0,""high"""
"689,27,5,0,""high"""
"677,27,6,1,""high"""
"678,27,7,1,""high"""
"690,27,8,1,""high"""
"679,27,9,1,""high"""
"680,27,10,1,""high"""
"691,27,11,0,""high"""
"681,27,12,0,""high"""
"682,27,13,1,""high"""
"692,27,14,1,""high"""
"683,27,15,1,""high"""
"684,27,16,1,""high"""
"693,27,17,1,""high"""
"685,27,18,1,""high"""
"686,27,19,1,""high"""
"687,27,20,0,""high"""
"771,28,1,0,""high"""
"769,28,2,0,""high"""
"775,28,3,0,""high"""
"768,28,4,0,""high"""
"766,28,5,1,""high"""
"767,28,6,0,""high"""
"765,28,7,0,""high"""
"764,28,8,0,""high"""
"773,28,9,0,""high"""
"762,28,10,0,""high"""
"761,28,11,0,""high"""
"774,28,12,0,""high"""
"760,28,13,0,""high"""
"758,28,14,0,""high"""
"763,28,15,0,""high"""
"770,28,16,0,""high"""
"776,28,17,1,""high"""
"777,28,18,0,""high"""
"759,28,19,0,""high"""
"772,28,20,0,""high"""
"1337,29,1,1,""high"""
"1331,29,2,1,""high"""
"1329,29,3,1,""high"""
"1325,29,4,1,""high"""
"1324,29,5,1,""high"""
"1328,29,6,1,""high"""
"1327,29,7,1,""high"""
"1326,29,8,1,""high"""
"1332,29,9,1,""high"""
"1335,29,10,1,""high"""
"1342,29,11,1,""high"""
"1344,29,12,1,""high"""
"1330,29,13,1,""high"""
"1333,29,14,1,""high"""
"1340,29,15,1,""high"""
"1334,29,16,1,""high"""
"1341,29,17,1,""high"""
"1343,29,18,1,""high"""
"1338,29,19,1,""high"""
"1336,29,20,1,""high"""
"306,30,1,1,""high"""
"309,30,2,0,""high"""
"310,30,3,1,""high"""
"301,30,4,1,""high"""
"299,30,5,1,""high"""
"296,30,6,1,""high"""
"295,30,7,0,""high"""
"312,30,8,1,""high"""
"315,30,9,0,""high"""
"303,30,10,1,""high"""
"298,30,11,0,""high"""
"307,30,12,1,""high"""
"302,30,13,1,""high"""
"311,30,14,1,""high"""
"297,30,15,1,""high"""
"300,30,16,1,""high"""
"308,30,17,0,""high"""
"304,30,18,1,""high"""
"313,30,19,0,""high"""
"314,30,20,1,""high"""
"617,31,1,1,""high"""
"618,31,2,1,""high"""
"610,31,3,1,""high"""
"619,31,4,0,""high"""
"620,31,5,1,""high"""
"611,31,6,1,""high"""
"621,31,7,1,""high"""
"622,31,8,1,""high"""
"612,31,9,1,""high"""
"623,31,10,1,""high"""
"624,31,11,1,""high"""
"613,31,12,1,""high"""
"625,31,13,0,""high"""
"626,31,14,1,""high"""
"614,31,15,1,""high"""
"627,31,16,1,""high"""
"628,31,17,1,""high"""
"615,31,18,1,""high"""
"629,31,19,1,""high"""
"630,31,20,1,""high"""
"868,32,1,1,""high"""
"873,32,2,1,""high"""
"870,32,3,1,""high"""
"875,32,4,1,""high"""
"881,32,5,1,""high"""
"882,32,6,1,""high"""
"874,32,7,1,""high"""
"879,32,8,1,""high"""
"880,32,9,1,""high"""
"865,32,10,1,""high"""
"866,32,11,1,""high"""
"867,32,12,1,""high"""
"869,32,13,1,""high"""
"863,32,14,1,""high"""
"864,32,15,1,""high"""
"872,32,16,1,""high"""
"877,32,17,0,""high"""
"878,32,18,1,""high"""
"871,32,19,0,""high"""
"876,32,20,0,""high"""
"1592,33,1,1,""high"""
"1586,33,2,0,""high"""
"1584,33,3,1,""high"""
"1577,33,4,1,""high"""
"1578,33,5,0,""high"""
"1580,33,6,1,""high"""
"1576,33,7,1,""high"""
"1581,33,8,0,""high"""
"1591,33,9,1,""high"""
"1582,33,10,1,""high"""
"1588,33,11,1,""high"""
"1595,33,12,0,""high"""
"1590,33,13,0,""high"""
"1596,33,14,1,""high"""
"1594,33,15,1,""high"""
"1593,33,16,0,""high"""
"1583,33,17,1,""high"""
"1585,33,18,1,""high"""
"1587,33,19,0,""high"""
"1579,33,20,1,""high"""
"145,34,1,0,""high"""
"143,34,2,0,""high"""
"140,34,3,0,""high"""
"147,34,4,0,""high"""
"144,34,5,0,""high"""
"142,34,6,0,""high"""
"146,34,7,0,""high"""
"128,34,8,1,""high"""
"137,34,9,0,""high"""
"131,34,10,0,""high"""
"134,34,11,1,""high"""
"135,34,12,1,""high"""
"132,34,13,0,""high"""
"129,34,14,0,""high"""
"136,34,15,1,""high"""
"141,34,16,0,""high"""
"127,34,17,0,""high"""
"138,34,18,0,""high"""
"133,34,19,0,""high"""
"130,34,20,0,""high"""
"1203,35,1,1,""high"""
"1198,35,2,0,""high"""
"1204,35,3,1,""high"""
"1205,35,4,0,""high"""
"1209,35,5,0,""high"""
"1214,35,6,1,""high"""
"1213,35,7,1,""high"""
"1216,35,8,0,""high"""
"1217,35,9,0,""high"""
"1211,35,10,0,""high"""
"1210,35,11,0,""high"""
"1207,35,12,0,""high"""
"1212,35,13,0,""high"""
"1201,35,14,0,""high"""
"1206,35,15,1,""high"""
"1199,35,16,1,""high"""
"1200,35,17,0,""high"""
"1208,35,18,1,""high"""
"1218,35,19,1,""high"""
"1215,35,20,0,""high"""
"1310,36,1,1,""high"""
"1304,36,2,1,""high"""
"1311,36,3,1,""high"""
"1305,36,4,1,""high"""
"1312,36,5,1,""high"""
"1306,36,6,1,""high"""
"1309,36,7,1,""high"""
"1316,36,8,1,""high"""
"1319,36,9,1,""high"""
"1313,36,10,1,""high"""
"1320,36,11,1,""high"""
"1318,36,12,1,""high"""
"1308,36,13,1,""high"""
"1315,36,14,1,""high"""
"1321,36,15,1,""high"""
"1317,36,16,1,""high"""
"1322,36,17,1,""high"""
"1323,36,18,1,""high"""
"1307,36,19,1,""high"""
"1314,36,20,1,""high"""
"237,37,1,1,""high"""
"245,37,2,1,""high"""
"249,37,3,0,""high"""
"234,37,4,1,""high"""
"243,37,5,1,""high"""
"238,37,6,0,""high"""
"247,37,7,1,""high"""
"242,37,8,0,""high"""
"250,37,9,1,""high"""
"244,37,10,0,""high"""
"252,37,11,0,""high"""
"248,37,12,1,""high"""
"246,37,13,0,""high"""
"251,37,14,0,""high"""
"235,37,15,1,""high"""
"233,37,16,0,""high"""
"239,37,17,1,""high"""
"236,37,18,1,""high"""
"232,37,19,1,""high"""
"240,37,20,0,""high"""
"1278,38,1,1,""high"""
"1262,38,2,1,""high"""
"1270,38,3,1,""high"""
"1275,38,4,1,""high"""
"1279,38,5,1,""high"""
"1280,38,6,1,""high"""
"1268,38,7,1,""high"""
"1271,38,8,1,""high"""
"1272,38,9,1,""high"""
"1276,38,10,1,""high"""
"1264,38,11,1,""high"""
"1277,38,12,1,""high"""
"1267,38,13,1,""high"""
"1266,38,14,1,""high"""
"1263,38,15,1,""high"""
"1261,38,16,1,""high"""
"1265,38,17,1,""high"""
"1274,38,18,1,""high"""
"1273,38,19,1,""high"""
"1281,38,20,1,""high"""
"1661,39,1,0,""high"""
"1660,39,2,0,""high"""
"1666,39,3,1,""high"""
"1673,39,4,0,""high"""
"1667,39,5,1,""high"""
"1665,39,6,0,""high"""
"1668,39,7,0,""high"""
"1675,39,8,1,""high"""
"1669,39,9,1,""high"""
"1663,39,10,0,""high"""
"1670,39,11,1,""high"""
"1664,39,12,0,""high"""
"1671,39,13,1,""high"""
"1678,39,14,0,""high"""
"1672,39,15,0,""high"""
"1679,39,16,0,""high"""
"1680,39,17,0,""high"""
"1676,39,18,0,""high"""
"1674,39,19,0,""high"""
"1677,39,20,0,""high"""
"1188,40,1,1,""high"""
"1181,40,2,0,""high"""
"1182,40,3,0,""high"""
"1187,40,4,0,""high"""
"1195,40,5,0,""high"""
"1196,40,6,1,""high"""
"1190,40,7,1,""high"""
"1192,40,8,0,""high"""
"1193,40,9,0,""high"""
"1194,40,10,0,""high"""
"1179,40,11,0,""high"""
"1180,40,12,1,""high"""
"1185,40,13,0,""high"""
"1177,40,14,0,""high"""
"1178,40,15,0,""high"""
"1184,40,16,1,""high"""
"1189,40,17,0,""high"""
"1186,40,18,1,""high"""
"1191,40,19,0,""high"""
"1197,40,20,0,""high"""
"1300,41,1,1,""high"""
"1282,41,2,1,""high"""
"1283,41,3,1,""high"""
"1289,41,4,0,""high"""
"1296,41,5,0,""high"""
"1301,41,6,1,""high"""
"1299,41,7,0,""high"""
"1285,41,8,1,""high"""
"1298,41,9,1,""high"""
"1297,41,10,0,""high"""
"1286,41,11,1,""high"""
"1295,41,12,1,""high"""
"1294,41,13,1,""high"""
"1292,41,14,0,""high"""
"1293,41,15,1,""high"""
"1291,41,16,0,""high"""
"1284,41,17,1,""high"""
"1290,41,18,1,""high"""
"1288,41,19,1,""high"""
"1302,41,20,1,""high"""
