"","Time","ID","age","sex","Foundation","Condition","Game","Partner","Index","ValueA","ValueB","double_original","Fingerratio","Q1","Q2","Double"
"151","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",6,1,3,"0",NA,NA,NA,FALSE
"152","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",6,3,4,"0",NA,NA,NA,FALSE
"153","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",7,2,2,"1",NA,NA,NA,TRUE
"154","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",7,5,2,"0",NA,NA,NA,FALSE
"155","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",8,6,1,"0",NA,NA,NA,FALSE
"156","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",8,4,5,"0",NA,NA,NA,FALSE
"157","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",9,4,5,"0",NA,NA,NA,FALSE
"158","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",9,5,2,"0",NA,NA,NA,FALSE
"159","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",10,6,1,"0",NA,NA,NA,FALSE
"160","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",10,2,6,"0",NA,NA,NA,FALSE
"161","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",11,5,1,"0",NA,NA,NA,FALSE
"162","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",11,3,3,"1",NA,NA,NA,TRUE
"163","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",12,2,5,"0",NA,NA,NA,FALSE
"164","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",12,6,5,"0",NA,NA,NA,FALSE
"165","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",13,2,2,"1",NA,NA,NA,TRUE
"166","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",13,6,5,"0",NA,NA,NA,FALSE
"167","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",14,3,6,"0",NA,NA,NA,FALSE
"168","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",14,2,5,"0",NA,NA,NA,FALSE
"169","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",15,5,1,"0",NA,NA,NA,FALSE
"170","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",15,2,1,"0",NA,NA,NA,FALSE
"171","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",16,3,4,"0",NA,NA,NA,FALSE
"172","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",16,4,5,"0",NA,NA,NA,FALSE
"173","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",17,5,4,"0",NA,NA,NA,FALSE
"174","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",17,1,6,"0",NA,NA,NA,FALSE
"175","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",18,3,6,"0",NA,NA,NA,FALSE
"176","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",18,2,5,"0",NA,NA,NA,FALSE
"177","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",19,6,2,"0",NA,NA,NA,FALSE
"178","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",19,3,6,"0",NA,NA,NA,FALSE
"179","pilot_191011_0951",5151,19,"1",NA,"SH","S","H",20,1,5,"0",NA,NA,NA,FALSE
"180","pilot_191011_1025",3724,22,"1",NA,"SH","S","H",20,3,5,"0",NA,NA,NA,FALSE
